COOPID, YEAR, MONTH, DAY, meanTemp
80211,2000,5,6,73.50000
80211,2000,5,7,73.00000
80211,2000,5,8,73.50000
80211,2000,5,9,73.50000
80211,2000,5,10,74.50000
80211,2000,5,11,76.00000
80211,2000,5,12,76.00000
80211,2000,5,13,76.50000
80211,2000,5,14,76.00000
80211,2000,5,15,76.50000
80211,2000,5,16,76.00000
80211,2000,5,17,76.50000
80211,2000,5,18,76.50000
80211,2000,5,19,76.50000
80211,2000,5,20,76.50000
80211,2000,5,21,78.50000
80211,2000,5,22,78.50000
80211,2000,5,23,80.50000
80211,2000,5,24,83.00000
80211,2000,5,25,83.50000
80211,2000,5,26,83.50000
80211,2000,5,27,84.00000
80211,2000,5,28,82.50000
80211,2000,5,29,82.00000
80211,2000,5,30,82.00000
80211,2000,5,31,80.00000
80211,2000,6,1,81.00000
80211,2000,6,2,80.50000
80211,2000,6,3,84.50000
80211,2000,6,4,85.00000
80211,2000,6,5,82.50000
80211,2000,6,6,82.50000
80211,2000,6,7,77.50000
80211,2000,6,8,81.00000
80211,2000,6,9,81.50000
80211,2000,6,10,82.00000
80211,2000,6,11,81.00000
80211,2000,6,12,82.00000
80211,2000,6,13,81.00000
80211,2000,6,14,81.00000
80211,2000,6,15,81.50000
80211,2000,6,16,82.50000
80211,2000,6,17,82.50000
80211,2000,6,18,82.50000
80211,2000,6,19,83.50000
80211,2000,6,20,83.50000
80211,2000,6,21,83.50000
80211,2000,6,22,81.00000
80211,2000,6,23,82.50000
80211,2000,6,24,83.50000
80211,2000,6,25,81.50000
80211,2000,6,26,81.50000
80211,2000,6,27,82.00000
80211,2000,6,28,82.50000
80211,2000,6,29,82.50000
80211,2000,6,30,81.00000
80211,2000,7,1,80.50000
80211,2000,7,2,81.00000
80211,2000,7,3,81.50000
80211,2000,7,4,84.00000
80211,2000,7,5,84.50000
80211,2000,7,6,84.00000
